Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,46.853445861412546,0,3600.0,-1,21.35335,0.0,1,46.853445861412546,0,21.35335,SAT,,0.112,
2,2,1,197.380086320345,0,3600.0,-1,21.420664,0.0,1,197.380086320345,1,42.774013999999994,SAT,,0.138,
3,3,1,55.5111391158244,0,3600.0,-1,21.455373,0.0,1,55.5111391158244,1,64.229387,SAT,,0.106,
4,4,1,134.2429937536789,0,3600.0,-1,21.495111,0.0,1,134.2429937536789,2,85.72449800000001,SAT,,0.115,
5,5,1,7.283042592203119,0,3600.0,-1,21.538111999999998,0.0,1,7.283042592203119,2,107.26261000000001,SAT,,0.107,
6,6,1,27.257737684969925,0,3600.0,-1,21.58097,0.0,1,27.257737684969925,3,128.84358,SAT,,0.106,
7,7,1,95.79817758915051,0,3600.0,-1,21.623495,0.0,1,95.79817758915051,3,150.467075,SAT,,0.106,
8,8,1,24.920452830479718,0,3600.0,-1,21.668249,0.0,1,24.920452830479718,4,172.135324,SAT,,0.11,
9,9,1,40.483092665555404,0,3600.0,-1,21.716409,0.0,1,40.483092665555404,4,193.851733,SAT,,0.108,
10,10,1,9.054288526546461,0,3600.0,-1,21.759646,0.0,1,9.054288526546461,5,215.611379,SAT,,0.113,
11,11,1,55.07270006475762,0,3600.0,-1,21.799289,0.0,1,55.07270006475762,5,237.410668,SAT,,0.108,
12,12,1,227.62194289585122,0,3600.0,-1,21.842768,0.0,1,227.62194289585122,6,259.25343599999997,SAT,,0.112,
13,13,1,254.71839775884467,0,3600.0,-1,21.891246,0.0,1,254.71839775884467,6,281.144682,SAT,,0.107,
14,14,1,2.7885595252204247,0,3600.0,-1,21.928333,0.0,1,2.7885595252204247,7,303.073015,SAT,,0.105,
15,15,1,147.5296315493442,0,3600.0,-1,21.966197,0.0,1,147.5296315493442,7,325.039212,SAT,,0.105,
16,16,1,43.02939322231883,0,3600.0,-1,22.013098,0.0,1,43.02939322231883,8,347.05231000000003,SAT,,0.11,
17,17,1,212.03120466729663,0,3600.0,-1,22.049545,0.0,1,212.03120466729663,8,369.10185500000006,SAT,,0.11,
18,18,1,97.88215982949457,0,3600.0,-1,22.094017,0.0,1,97.88215982949457,9,391.19587200000007,SAT,,0.112,
19,19,1,310.0948564847986,0,3600.0,-1,22.128811,0.0,1,310.0948564847986,9,413.32468300000005,SAT,,0.107,
20,20,1,66.79620985365031,0,3600.0,-1,22.173567,0.0,1,66.79620985365031,10,435.49825000000004,SAT,,0.115,
21,21,1,238.58017113539825,0,3600.0,-1,22.215319,0.0,1,238.58017113539825,10,457.71356900000006,SAT,,0.111,
22,22,1,43.87116735974507,0,3600.0,-1,22.255117,0.0,1,43.87116735974507,11,479.96868600000005,SAT,,0.107,
23,23,1,13.291186532678173,0,3600.0,-1,22.306362,0.0,1,13.291186532678173,11,502.275048,SAT,,0.112,
24,24,1,6.976226408644568,0,3600.0,-1,22.366924,0.0,1,6.976226408644568,12,524.641972,SAT,,0.149,
25,25,1,28.426957718435478,0,3600.0,-1,22.43999,0.0,1,28.426957718435478,12,547.081962,SAT,,0.149,
26,26,1,8.673329062056101,0,3600.0,-1,22.476445,0.0,1,8.673329062056101,13,569.558407,SAT,,0.105,
27,27,1,195.33529657114835,0,3600.0,-1,22.534686,0.0,1,195.33529657114835,13,592.093093,SAT,,0.131,
28,28,1,150.8957398667122,0,3600.0,-1,22.572608,0.0,1,150.8957398667122,14,614.6657009999999,SAT,,0.11,
29,29,1,224.4962102882016,0,3600.0,-1,22.612152,0.0,1,224.4962102882016,14,637.2778529999999,SAT,,0.109,
30,30,1,210.20571185522417,0,3600.0,-1,22.654689,0.0,1,210.20571185522417,15,659.9325419999999,SAT,,0.106,
31,31,1,76.16844529424007,0,3600.0,-1,22.704808,0.0,1,76.16844529424007,15,682.6373499999999,SAT,,0.11,
32,32,1,42.08666155251888,0,3600.0,-1,22.748266,0.0,1,42.08666155251888,16,705.3856159999998,SAT,,0.107,
33,33,1,119.9367512839664,0,3600.0,-1,22.794996,0.0,1,119.9367512839664,16,728.1806119999998,SAT,,0.113,
34,34,1,72.46855075292072,0,3600.0,-1,22.835272,0.0,1,72.46855075292072,17,751.0158839999998,SAT,,0.108,
35,35,1,123.84913077036742,0,3600.0,-1,22.89423,0.0,1,123.84913077036742,17,773.9101139999998,SAT,,0.112,
36,36,1,14.192826846757516,0,3600.0,-1,22.93708,0.0,1,14.192826846757516,18,796.8471939999998,SAT,,0.116,
37,37,1,28.32370931758634,0,3600.0,-1,22.980749,0.0,1,28.32370931758634,18,819.8279429999998,SAT,,0.115,
38,38,1,5.265751528836516,0,3600.0,-1,23.024558,0.0,1,5.265751528836516,19,842.8525009999997,SAT,,0.109,
