1: x1='1.0', x2='-1.0', x3='1'
2: x1='-4.1637231088305', x2='1.287433432468866', x3='8'
3: x1='1.7563527120895248', x2='-3.0513392180613472', x3='3'
4: x1='-3.9490805011522756', x2='3.12479922297765', x3='6'
5: x1='3.855698087536263', x2='1.049699233609811', x3='4'
6: x1='-0.3320950618888947', x2='4.26677217085105', x3='3'
7: x1='-1.3286239301048153', x2='-0.23033760411488302', x3='10'
8: x1='3.194919845130082', x2='-2.183110129637301', x3='5'
9: x1='0.5276805727021667', x2='1.7051406740249782', x3='10'
10: x1='2.2903739671279517', x2='2.413786764204753', x3='5'
11: x1='-2.008177983813076', x2='2.85123987218398', x3='2'
12: x1='-2.7748643901588324', x2='-3.641721389668402', x3='0'
13: x1='-4.8266734693772015', x2='1.0830316630142018', x3='0'
14: x1='2.4362422188584807', x2='3.204716090114882', x3='0'
15: x1='-4.664267817393204', x2='4.615287692096167', x3='3'
16: x1='3.3510003794158525', x2='-4.24045297928928', x3='2'
17: x1='-3.5638723440351328', x2='-1.1020417456622211', x3='3'
18: x1='-2.3524403947775774', x2='0.9907539130887697', x3='5'
19: x1='-4.920139976897721', x2='-0.045446401701778605', x3='9'
20: x1='-2.5304367736054534', x2='3.261066557611409', x3='7'
21: x1='-3.6267829182040154', x2='-1.7953237499064856', x3='4'
22: x1='1.1557236122289263', x2='-1.143979039748583', x3='0'
23: x1='3.8398597936368244', x2='-1.1469700509379823', x3='2'
24: x1='4.249975380574645', x2='1.059596545960443', x3='1'
25: x1='2.9912534033189084', x2='-2.7933588410757837', x3='1'
26: x1='3.3769102990242743', x2='2.2026131822830077', x3='8'
27: x1='-3.322561269136787', x2='-0.9526284041215582', x3='8'
28: x1='-2.6111594015286874', x2='-1.1362662592539898', x3='1'
29: x1='-4.479701908351244', x2='1.275294304845361', x3='8'
30: x1='-4.791784381428693', x2='2.756258365352206', x3='8'
31: x1='0.40306304686009575', x2='-2.059311730480723', x3='2'
32: x1='2.5858770044306247', x2='-2.9300946079999823', x3='8'
33: x1='0.7181467246843525', x2='-4.756532519218279', x3='9'
34: x1='2.111681113355229', x2='-4.747990280163565', x3='4'
35: x1='-2.8328091535609268', x2='0.6825895595398057', x3='5'
36: x1='4.1866865487517835', x2='1.7076826882634766', x3='9'
37: x1='2.429133569279073', x2='-1.7503310043587925', x3='4'
38: x1='3.42274275226851', x2='4.185117951268895', x3='0'
39: x1='-2.89486990839116', x2='-0.8005532035381204', x3='0'
40: x1='4.647362098499173', x2='1.2159788832453557', x3='1'
41: x1='1.7483956933887708', x2='-3.2535456725218714', x3='4'
42: x1='2.231789121221361', x2='2.5005431391757966', x3='7'
43: x1='4.417574478135819', x2='-3.455451566318776', x3='2'
44: x1='4.54388268217498', x2='-1.0217991529186032', x3='9'
45: x1='-0.861669882411233', x2='-4.918380441185095', x3='9'
46: x1='2.1989871737116538', x2='2.3142078487612094', x3='5'
47: x1='-2.113654984824833', x2='3.7696308012830624', x3='10'
48: x1='-2.56161311072862', x2='2.378068203272936', x3='9'
49: x1='1.0926704722125784', x2='-3.0361557706194153', x3='5'
50: x1='2.1539742760276583', x2='3.497826112348383', x3='8'
51: x1='4.936884184373609', x2='0.28425225195410775', x3='3'
52: x1='2.4486150888907403', x2='-4.789853995464113', x3='0'
53: x1='4.164794458521451', x2='-4.494241745525425', x3='2'
54: x1='-2.563146476936813', x2='-4.189817342439646', x3='1'
55: x1='-0.8554884749034066', x2='3.1688668305379117', x3='1'
56: x1='4.568006320565498', x2='4.808704657716127', x3='0'
57: x1='-1.0807846957782488', x2='-1.536574431919889', x3='8'
58: x1='2.2533741978772053', x2='-4.977033269375486', x3='3'
59: x1='-3.7723252196076276', x2='1.1210977517108986', x3='7'
60: x1='2.26210721256117', x2='1.4049224547091317', x3='0'
61: x1='0.14405662675806763', x2='-0.6729950921263415', x3='1'
62: x1='2.558961032223719', x2='2.753034759209852', x3='0'
63: x1='2.2293379338284316', x2='0.5275708222411524', x3='2'
64: x1='2.129172641963109', x2='2.793782013499502', x3='6'
65: x1='1.8022395242425677', x2='4.420288707474423', x3='7'
66: x1='2.6400069323496957', x2='1.2562165097161504', x3='7'
67: x1='-4.491859343671916', x2='0.3023172276921784', x3='8'
68: x1='1.822795766907582', x2='2.204854175683039', x3='0'
69: x1='2.5373574696363663', x2='3.2841895659873206', x3='6'
70: x1='1.7836481689611663', x2='2.204854175683039', x3='0'
71: x1='1.7351286892762454', x2='-2.291314745059574', x3='5'
72: x1='2.6926174929236444', x2='4.763990456891001', x3='1'
73: x1='0.42379518427967255', x2='-3.7709573037350452', x3='6'
74: x1='1.7721455816661047', x2='3.865106118573255', x3='0'
75: x1='1.3552567856660636', x2='-4.126389451592031', x3='8'
76: x1='3.7797829291398273', x2='1.1034895930563042', x3='8'
77: x1='0.7253256737610183', x2='3.9246694811044307', x3='10'
78: x1='2.4702728368675135', x2='4.508966421021958', x3='2'
79: x1='-4.276585001361487', x2='-4.739897313537704', x3='6'
80: x1='-2.5428152119990735', x2='-4.991368513533004', x3='0'
81: x1='-2.083361102149599', x2='3.6950215575769434', x3='0'
82: x1='1.7681746512415009', x2='2.4054868829763105', x3='5'
