1: x1='1.0', x2='-1.0', x3='1'
83: x1='1.5599959939057149', x2='-2.8053225115282157', x3='9'
84: x1='2.9783603568740773', x2='1.1702826646438673', x3='0'
85: x1='3.202756461823327', x2='-0.6318232103266581', x3='4'
86: x1='-2.533255817628678', x2='2.2996660282105497', x3='8'
87: x1='1.0781885186779832', x2='-1.6950176021329764', x3='1'
88: x1='2.6993316830160676', x2='1.276348339180676', x3='0'
89: x1='4.01904621649393', x2='3.4324100327055778', x3='7'
90: x1='-2.5430812584624674', x2='-4.313788395258637', x3='9'
91: x1='-0.14182691304421713', x2='-0.03957856569071616', x3='1'
92: x1='1.7617905278530728', x2='2.8997876585661917', x3='1'
93: x1='4.673138995728227', x2='1.4634915487475464', x3='4'
94: x1='2.184706830651156', x2='0.7962919131033104', x3='0'
95: x1='-0.43169082292520145', x2='-2.054391390791419', x3='5'
96: x1='2.1181919138563954', x2='1.276348339180676', x3='0'
97: x1='2.388526807108466', x2='3.6141984635272664', x3='0'
98: x1='-2.534992925986932', x2='3.001848058107049', x3='10'
99: x1='3.7549681290614316', x2='-3.9892382494971956', x3='10'
100: x1='2.256558802947035', x2='-0.3569227287560226', x3='0'
