1: x1='1.0', x2='-1.0', x3='1'
2: x1='2.311453961656184', x2='0.49000855776817254', x3='8'
3: x1='-2.812064290180172', x2='3.0192107552509118', x3='2'
4: x1='-2.8729476006592023', x2='-2.693846714624517', x3='3'
5: x1='-3.698429437929538', x2='-2.109440548436753', x3='5'
6: x1='4.309575862948023', x2='3.0050146916221188', x3='7'
7: x1='-0.41789649415694985', x2='0.39160546940957097', x3='4'
8: x1='-1.6626869504061812', x2='-4.469899011026009', x3='7'
9: x1='2.397569991123719', x2='-1.6827623924152824', x3='5'
10: x1='-4.239745852886721', x2='1.6015611357917976', x3='9'
11: x1='-0.5502706805406499', x2='-1.4208362926207085', x3='8'
12: x1='1.268533726572346', x2='-2.517721138886284', x3='8'
13: x1='-0.585263156885933', x2='1.9987772155726553', x3='0'
14: x1='-0.6720940777517797', x2='-1.0610342665845263', x3='10'
15: x1='-2.9751797901455768', x2='4.437881024633823', x3='9'
16: x1='2.420718129636599', x2='-3.3012615949593513', x3='10'
17: x1='-3.6423761451294814', x2='0.4442619565512107', x3='1'
18: x1='3.246483776390944', x2='-1.953114882217144', x3='3'
19: x1='-0.9109296553084336', x2='-1.2905326440036258', x3='6'
20: x1='3.211688691279072', x2='-2.0389668703946393', x3='7'
21: x1='-4.1241164420146905', x2='-1.5215425912135228', x3='3'
22: x1='3.016338418538295', x2='-2.122759891952004', x3='4'
23: x1='-0.9054268228296181', x2='4.085236355927194', x3='1'
24: x1='-1.2631604197110144', x2='4.3587427128238545', x3='4'
25: x1='3.254397723619034', x2='0.374194432125857', x3='3'
26: x1='3.5377475817746067', x2='-3.969611483304427', x3='3'
27: x1='0.8836743079402218', x2='4.482702598407025', x3='9'
28: x1='-1.3199042508322636', x2='1.7450059157922748', x3='10'
29: x1='-4.253530519580134', x2='3.7229080984351945', x3='4'
30: x1='2.386827847338494', x2='-4.978861916020922', x3='5'
31: x1='-0.9337405512202066', x2='-3.427493856113868', x3='8'
32: x1='3.6291748040669667', x2='1.5787857820228455', x3='3'
33: x1='1.5380610195216038', x2='3.301203847364821', x3='3'
34: x1='3.9457596604823593', x2='-1.0367975392025097', x3='3'
35: x1='-3.4425536722940975', x2='2.6799468633598593', x3='10'
36: x1='4.1596039701297975', x2='-1.0422693393174578', x3='9'
37: x1='-4.7876175450430205', x2='-3.9338510488148137', x3='5'
38: x1='1.3854329517379274', x2='2.254829591793575', x3='3'
39: x1='1.3393889369207894', x2='-4.651759732292808', x3='2'
40: x1='1.3640982391352532', x2='2.4278575703653082', x3='1'
41: x1='0.849926777101131', x2='2.3929414536224582', x3='6'
42: x1='4.2402620004577845', x2='-1.6340186889512909', x3='1'
43: x1='-2.8687237343046457', x2='-0.9464830191599365', x3='1'
44: x1='-4.34395424914619', x2='3.1310141983472466', x3='9'
45: x1='-4.3404296136158385', x2='1.7881714853569184', x3='6'
46: x1='-4.558653722209059', x2='4.173002153762738', x3='5'
47: x1='-2.701006517680713', x2='2.41458673896517', x3='0'
48: x1='3.907069352188831', x2='-2.170818985327718', x3='9'
49: x1='-1.2030315114112957', x2='-3.6468784335159468', x3='10'
50: x1='-2.829781108436289', x2='-4.89803480530009', x3='0'
51: x1='1.307110131534043', x2='0.9580946288948855', x3='5'
52: x1='1.7358656950310198', x2='-1.5107261870231192', x3='0'
53: x1='1.2803898673884815', x2='-2.3985331699214942', x3='3'
54: x1='-4.633436752339817', x2='1.8938897900831977', x3='1'
55: x1='-4.904260881666787', x2='1.073489771450622', x3='1'
56: x1='4.845314381953159', x2='-2.6091733419017773', x3='0'
57: x1='-3.685426929146951', x2='3.794406974409796', x3='7'
58: x1='4.1269818469319475', x2='4.841127843020823', x3='10'
59: x1='2.3251597891500575', x2='-1.0328464658421277', x3='1'
60: x1='1.3620831557376931', x2='-1.198815976992842', x3='9'
