1: x1='1.0', x2='-1.0', x3='1'
61: x1='-1.6400339513753193', x2='4.690044664904082', x3='1'
62: x1='-2.8218947624019384', x2='-1.400486952157347', x3='8'
63: x1='0.5140625573741522', x2='-3.7100001512494964', x3='0'
64: x1='4.446504100244319', x2='-3.33512334823736', x3='4'
65: x1='1.6192514132170208', x2='-4.714054734459779', x3='10'
66: x1='-2.765245727397243', x2='-3.366285193242179', x3='4'
67: x1='-3.4599829260001727', x2='-4.9638988735124485', x3='3'
68: x1='-4.8702703360713855', x2='2.329574381994359', x3='7'
69: x1='-4.9611361011453425', x2='3.207738272347582', x3='9'
70: x1='3.8848148126285302', x2='-3.3698060869445037', x3='6'
71: x1='-3.688610533713713', x2='-4.837609214776215', x3='1'
72: x1='-1.6473147524963752', x2='-2.11693834615048', x3='8'
73: x1='-4.124725569007514', x2='-0.8545775721621904', x3='4'
74: x1='2.7857735279314513', x2='-4.0570078215553735', x3='1'
75: x1='3.7957241576266405', x2='1.0167348538818377', x3='8'
76: x1='-1.6430830281079545', x2='1.863930526192985', x3='10'
77: x1='-2.581231683318337', x2='-0.7707524368073226', x3='6'
78: x1='4.3813243586537745', x2='-3.3599151908376124', x3='6'
79: x1='-1.0280963944312949', x2='-0.20453610037542092', x3='10'
80: x1='4.181749923250139', x2='-4.934092433349372', x3='2'
81: x1='4.171864790139619', x2='0.8979172668904134', x3='3'
82: x1='3.458627744289924', x2='-0.5442587814665902', x3='10'
83: x1='0.2861826206022151', x2='3.2647309114872733', x3='8'
84: x1='3.2888716482107263', x2='2.961494875902467', x3='10'
85: x1='-4.459286145373145', x2='-4.865641458690229', x3='7'
86: x1='-1.6462444140823718', x2='-3.5875711634524556', x3='5'
87: x1='-1.3226423516301122', x2='-1.1066351867696733', x3='0'
88: x1='0.7581706568040829', x2='-0.1939236729562932', x3='8'
89: x1='4.755122808030629', x2='-1.2311667212351884', x3='7'
90: x1='4.361474062840001', x2='-4.993125647138157', x3='8'
91: x1='1.3510598805342227', x2='1.3146738207731463', x3='1'
92: x1='2.9304229009312515', x2='1.0660389933692462', x3='10'
93: x1='1.942116837503888', x2='2.6698163820207377', x3='7'
94: x1='3.5594227659809388', x2='1.0196595850606327', x3='0'
95: x1='4.215091517571528', x2='4.839599824850026', x3='8'
96: x1='2.7389338108436636', x2='3.873365735464633', x3='10'
97: x1='-2.284311999017792', x2='-2.376263698362232', x3='8'
98: x1='2.5032816444239447', x2='3.833618735679204', x3='10'
99: x1='-2.6701436405736056', x2='2.0902509882863995', x3='0'
100: x1='4.637952797226339', x2='-3.3638239487498858', x3='3'
