Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,46.853445861412546,0,3600.0,-1,0.040566,0.0,1,46.853445861412546,0,0.040566,SAT,,0.166,
2,2,1,17.878246557899537,0,3600.0,-1,0.078404,0.0,1,17.878246557899537,1,0.11896999999999999,SAT,,0.123,
3,3,1,74.78900527045519,0,3600.0,-1,0.110222,0.0,1,74.78900527045519,1,0.229192,SAT,,0.104,
4,4,1,209.16433520454794,0,3600.0,-1,0.154521,0.0,1,209.16433520454794,1,0.38371299999999997,SAT,,0.114,
5,5,1,255.3114520524358,0,3600.0,-1,0.202003,0.0,1,255.3114520524358,1,0.5857159999999999,SAT,,0.109,
6,6,1,15.381083272117985,0,3600.0,-1,0.275302,0.0,1,15.381083272117985,1,0.8610179999999998,SAT,,0.16,
7,7,1,62.41614471156006,0,3600.0,-1,0.31238499999999997,0.0,1,62.41614471156006,1,1.1734029999999998,SAT,,0.119,
8,8,1,197.648215779211,0,3600.0,-1,0.350637,0.0,1,197.648215779211,2,1.5240399999999998,SAT,,0.109,
9,9,1,29.182807728663732,0,3600.0,-1,0.39411399999999996,0.0,1,29.182807728663732,2,1.918154,SAT,,0.111,
10,10,1,196.02525468046443,0,3600.0,-1,0.431083,0.0,1,196.02525468046443,2,2.349237,SAT,,0.112,
11,11,1,95.66917348548799,0,3600.0,-1,0.470914,0.0,1,95.66917348548799,3,2.820151,SAT,,0.11,
12,12,1,65.83776013582921,0,3600.0,-1,0.505624,0.0,1,65.83776013582921,3,3.325775,SAT,,0.109,
13,13,1,42.774012960355535,0,3600.0,-1,0.545428,0.0,1,42.774012960355535,3,3.8712030000000004,SAT,,0.108,
14,14,1,94.57453159788854,0,3600.0,-1,0.595447,0.0,1,94.57453159788854,4,4.4666500000000005,SAT,,0.135,
15,15,1,64.89554406687083,0,3600.0,-1,0.642578,0.0,1,64.89554406687083,4,5.109228000000001,SAT,,0.147,
16,16,1,51.2957685451065,0,3600.0,-1,0.688062,0.0,1,51.2957685451065,5,5.79729,SAT,,0.13,
17,17,1,173.31399671092043,0,3600.0,-1,0.744115,0.0,1,173.31399671092043,5,6.541405,SAT,,0.125,
18,18,1,20.654373806046088,0,3600.0,-1,0.79986,0.0,1,20.654373806046088,6,7.341265,SAT,,0.155,
19,19,1,100.16479100409494,0,3600.0,-1,0.871417,0.0,1,100.16479100409494,6,8.212682,SAT,,0.138,
20,20,1,25.568527063181634,0,3600.0,-1,0.906835,0.0,1,25.568527063181634,7,9.119516999999998,SAT,,0.114,
21,21,1,272.791074695976,0,3600.0,-1,0.943141,0.0,1,272.791074695976,7,10.062657999999999,SAT,,0.102,
22,22,1,24.700322916866476,0,3600.0,-1,0.986223,0.0,1,24.700322916866476,8,11.048881,SAT,,0.108,
23,23,1,28.911232246617914,0,3600.0,-1,1.034486,0.0,1,28.911232246617914,8,12.083366999999999,SAT,,0.108,
24,24,1,31.789916421346206,0,3600.0,-1,1.075402,0.0,1,31.789916421346206,9,13.158769,SAT,,0.109,
25,25,1,6.751244071566503,0,3600.0,-1,1.113827,0.0,1,6.751244071566503,9,14.272596,SAT,,0.116,
26,26,1,39.614783143935675,0,3600.0,-1,1.15896,0.0,1,39.614783143935675,10,15.431556,SAT,,0.112,
27,27,1,25.13560715276153,0,3600.0,-1,1.221745,0.0,1,25.13560715276153,10,16.653301,SAT,,0.153,
28,28,1,65.69010899772137,0,3600.0,-1,1.264711,0.0,1,65.69010899772137,11,17.918011999999997,SAT,,0.105,
29,29,1,139.3440240856118,0,3600.0,-1,1.309645,0.0,1,139.3440240856118,11,19.227656999999997,SAT,,0.104,
30,30,1,70.66958811192225,0,3600.0,-1,1.358314,0.0,1,70.66958811192225,12,20.585970999999997,SAT,,0.131,
31,31,1,145.28917307788592,0,3600.0,-1,1.390843,0.0,1,145.28917307788592,12,21.976813999999997,SAT,,0.106,
32,32,1,4.6370264733095325,0,3600.0,-1,1.441043,0.0,1,4.6370264733095325,13,23.417856999999998,SAT,,0.106,
33,33,1,13.623963089049756,0,3600.0,-1,1.486279,0.0,1,13.623963089049756,13,24.904135999999998,SAT,,0.116,
34,34,1,14.001847536020852,0,3600.0,-1,1.526453,0.0,1,14.001847536020852,14,26.430588999999998,SAT,,0.116,
35,35,1,117.53912231949457,0,3600.0,-1,1.565874,0.0,1,117.53912231949457,14,27.996463,SAT,,0.116,
36,36,1,21.019264318111198,0,3600.0,-1,1.633815,0.0,1,21.019264318111198,15,29.630277999999997,SAT,,0.157,
37,37,1,436.5727647866165,0,3600.0,-1,1.6751,0.0,1,436.5727647866165,15,31.305377999999997,SAT,,0.119,
38,38,1,17.967168424636316,0,3600.0,-1,1.714445,0.0,1,17.967168424636316,16,33.019822999999995,SAT,,0.118,
39,39,1,90.79636895789082,0,3600.0,-1,1.780059,0.0,1,90.79636895789082,16,34.799882,SAT,,0.162,
40,40,1,15.665140106234418,0,3600.0,-1,1.827334,0.0,1,15.665140106234418,17,36.627216,SAT,,0.112,
41,41,1,27.849351745637914,0,3600.0,-1,1.8736579999999998,0.0,1,27.849351745637914,17,38.500873999999996,SAT,,0.118,
42,42,1,16.92534021299935,0,3600.0,-1,1.914774,0.0,1,16.92534021299935,18,40.415648,SAT,,0.118,
43,43,1,159.89213327457273,0,3600.0,-1,1.9801449999999998,0.0,1,159.89213327457273,18,42.395793,SAT,,0.159,
44,44,1,164.87765932688944,0,3600.0,-1,2.026973,0.0,1,164.87765932688944,19,44.422765999999996,SAT,,0.115,
45,45,1,196.20989516975908,0,3600.0,-1,2.073076,0.0,1,196.20989516975908,19,46.495841999999996,SAT,,0.115,
46,46,1,151.9906356184605,0,3600.0,-1,2.122971,0.0,1,151.9906356184605,20,48.618812999999996,SAT,,0.12,
47,47,1,79.22472737126509,0,3600.0,-1,2.170166,0.0,1,79.22472737126509,20,50.788979,SAT,,0.118,
48,48,1,27.478478037650536,0,3600.0,-1,2.217475,0.0,1,27.478478037650536,21,53.006454,SAT,,0.119,
49,49,1,161.48019479205598,0,3600.0,-1,2.262085,0.0,1,161.48019479205598,21,55.268539,SAT,,0.117,
50,50,1,271.01079684270485,0,3600.0,-1,2.308472,0.0,1,271.01079684270485,22,57.577011,SAT,,0.118,
51,51,1,27.62968429327269,0,3600.0,-1,2.377295,0.0,1,27.62968429327269,22,59.954306,SAT,,0.162,
52,52,1,34.81374467811984,0,3600.0,-1,2.420783,0.0,1,34.81374467811984,23,62.375089,SAT,,0.122,
53,53,1,58.94742882735329,0,3600.0,-1,2.467122,0.0,1,58.94742882735329,23,64.842211,SAT,,0.125,
54,54,1,213.41583056506235,0,3600.0,-1,2.5171609999999998,0.0,1,213.41583056506235,24,67.35937200000001,SAT,,0.138,
55,55,1,263.7050308358113,0,3600.0,-1,2.596326,0.0,1,263.7050308358113,24,69.95569800000001,SAT,,0.161,
56,56,1,26.721360508765205,0,3600.0,-1,2.640643,0.0,1,26.721360508765205,25,72.59634100000001,SAT,,0.115,
57,57,1,105.32881570436558,0,3600.0,-1,2.690515,0.0,1,105.32881570436558,25,75.28685600000001,SAT,,0.12,
58,58,1,24.993140071470144,0,3600.0,-1,2.75103,0.0,1,24.993140071470144,26,78.03788600000001,SAT,,0.17,
59,59,1,20.670443404747797,0,3600.0,-1,2.8034660000000002,0.0,1,20.670443404747797,26,80.84135200000001,SAT,,0.156,
60,60,1,48.76948396249567,0,3600.0,-1,2.846806,0.0,1,48.76948396249567,27,83.68815800000002,SAT,,0.123,
61,61,1,28.54827960108293,0,3600.0,-1,2.894457,0.0,1,28.54827960108293,27,86.58261500000002,SAT,,0.123,
62,62,1,175.82063756121156,0,3600.0,-1,2.938128,0.0,1,175.82063756121156,28,89.52074300000002,SAT,,0.119,
63,63,1,98.03424253334948,0,3600.0,-1,2.98377,0.0,1,98.03424253334948,28,92.50451300000003,SAT,,0.146,
64,64,1,34.6366004633264,0,3600.0,-1,3.027793,0.0,1,34.6366004633264,29,95.53230600000003,SAT,,0.12,
65,65,1,91.37163243520692,0,3600.0,-1,3.076144,0.0,1,91.37163243520692,29,98.60845000000003,SAT,,0.117,
66,66,1,222.78378669933994,0,3600.0,-1,3.126169,0.0,1,222.78378669933994,30,101.73461900000004,SAT,,0.12,
67,67,1,328.49863729426636,0,3600.0,-1,3.180467,0.0,1,328.49863729426636,30,104.91508600000003,SAT,,0.117,
68,68,1,228.3509407451322,0,3600.0,-1,3.219758,0.0,1,228.3509407451322,31,108.13484400000003,SAT,,0.117,
69,69,1,213.67862059309024,0,3600.0,-1,3.265133,0.0,1,213.67862059309024,31,111.39997700000004,SAT,,0.118,
70,70,1,35.31425091528999,0,3600.0,-1,3.330392,0.0,1,35.31425091528999,32,114.73036900000004,SAT,,0.149,
71,71,1,343.7877557812907,0,3600.0,-1,3.386368,0.0,1,343.7877557812907,32,118.11673700000004,SAT,,0.125,
72,72,1,140.2381583000949,0,3600.0,-1,3.439889,0.0,1,140.2381583000949,33,121.55662600000004,SAT,,0.117,
73,73,1,252.57163121107112,0,3600.0,-1,3.487959,0.0,1,252.57163121107112,33,125.04458500000004,SAT,,0.117,
74,74,1,45.90126900551035,0,3600.0,-1,3.5396609999999997,0.0,1,45.90126900551035,34,128.58424600000004,SAT,,0.117,
75,75,1,11.025456816491367,0,3600.0,-1,3.580171,0.0,1,11.025456816491367,34,132.16441700000004,SAT,,0.118,
76,76,1,69.71478923006066,0,3600.0,-1,3.619917,0.0,1,69.71478923006066,35,135.78433400000003,SAT,,0.113,
77,77,1,145.68543836903783,0,3600.0,-1,3.667822,0.0,1,145.68543836903783,35,139.45215600000003,SAT,,0.123,
78,78,1,36.563087498203345,0,3600.0,-1,3.711138,0.0,1,36.563087498203345,36,143.16329400000004,SAT,,0.114,
79,79,1,88.59709186845535,0,3600.0,-1,3.754534,0.0,1,88.59709186845535,36,146.91782800000004,SAT,,0.109,
80,80,1,49.88183606992268,0,3600.0,-1,3.791851,0.0,1,49.88183606992268,37,150.70967900000005,SAT,,0.114,
81,81,1,8.564042878850579,0,3600.0,-1,3.838027,0.0,1,8.564042878850579,37,154.54770600000006,SAT,,0.115,
82,82,1,17.5586469337032,0,3600.0,-1,3.880448,0.0,1,17.5586469337032,38,158.42815400000006,SAT,,0.112,
83,83,1,32.45740039803057,0,3600.0,-1,3.92765,0.0,1,32.45740039803057,38,162.35580400000006,SAT,,0.112,
84,84,1,11.13952092371741,0,3600.0,-1,3.971623,0.0,1,11.13952092371741,39,166.32742700000006,SAT,,0.116,
85,85,1,436.1454203132606,0,3600.0,-1,4.004057,0.0,1,436.1454203132606,39,170.33148400000005,SAT,,0.117,
86,86,1,171.9734651752013,0,3600.0,-1,4.049819,0.0,1,171.9734651752013,40,174.38130300000006,SAT,,0.113,
87,87,1,101.42820735444427,0,3600.0,-1,4.102347,0.0,1,101.42820735444427,40,178.48365000000007,SAT,,0.117,
88,88,1,50.5909887499669,0,3600.0,-1,4.140948,0.0,1,50.5909887499669,41,182.62459800000008,SAT,,0.114,
89,89,1,24.088142568577492,0,3600.0,-1,4.212933,0.0,1,24.088142568577492,41,186.83753100000007,SAT,,0.151,
90,90,1,57.066686472478374,0,3600.0,-1,4.261598,0.0,1,57.066686472478374,42,191.09912900000006,SAT,,0.116,
91,91,1,20.77063971330317,0,3600.0,-1,4.302795,0.0,1,20.77063971330317,42,195.40192400000007,SAT,,0.111,
92,92,1,12.513941263020731,0,3600.0,-1,4.371499,0.0,1,12.513941263020731,43,199.77342300000007,SAT,,0.156,
93,93,1,14.043666653263358,0,3600.0,-1,4.419141,0.0,1,14.043666653263358,43,204.19256400000006,SAT,,0.115,
94,94,1,2.130331651782437,0,3600.0,-1,4.456821,0.0,1,2.130331651782437,44,208.64938500000005,SAT,,0.112,
95,95,1,24.000686984571182,0,3600.0,-1,4.504716,0.0,1,24.000686984571182,44,213.15410100000005,SAT,,0.115,
96,96,1,12.762029792014133,0,3600.0,-1,4.534627,0.0,1,12.762029792014133,45,217.68872800000005,SAT,,0.113,
97,97,1,172.6488966260399,0,3600.0,-1,4.5792269999999995,0.0,1,172.6488966260399,45,222.26795500000006,SAT,,0.114,
98,98,1,13.304960922098612,0,3600.0,-1,4.619372,0.0,1,13.304960922098612,46,226.88732700000006,SAT,,0.11,
99,99,1,83.90007305218819,0,3600.0,-1,4.665529,0.0,1,83.90007305218819,46,231.55285600000005,SAT,,0.118,
100,100,1,34.954273262628504,0,3600.0,-1,4.724941,0.0,1,34.954273262628504,47,236.27779700000005,SAT,,0.156,
