Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,46.853445861412546,0,3600.0,-1,23.842209,0.0,1,46.853445861412546,0,23.842209,SAT,,0.193,
2,2,1,197.380086320345,0,3600.0,-1,23.898119,0.0,1,197.380086320345,1,47.740328000000005,SAT,,0.192,
3,3,1,55.5111391158244,0,3600.0,-1,23.95997,0.0,1,55.5111391158244,1,71.700298,SAT,,0.194,
4,4,1,134.2429937536789,0,3600.0,-1,24.019142,0.0,1,134.2429937536789,2,95.71944,SAT,,0.363,
5,5,1,7.283042592203119,0,3600.0,-1,24.08235,0.0,1,7.283042592203119,2,119.80179000000001,SAT,,0.295,
6,6,1,27.257737684969925,0,3600.0,-1,24.162099,0.0,1,27.257737684969925,3,143.96388900000002,SAT,,0.336,
7,7,1,95.79817758915051,0,3600.0,-1,24.208022,0.0,1,95.79817758915051,3,168.17191100000002,SAT,,0.227,
8,8,1,24.920452830479718,0,3600.0,-1,24.27426,0.0,1,24.920452830479718,4,192.44617100000002,SAT,,0.248,
9,9,1,40.483092665555404,0,3600.0,-1,24.343965,0.0,1,40.483092665555404,4,216.79013600000002,SAT,,0.431,
10,10,1,9.054288526546461,0,3600.0,-1,24.411117,0.0,1,9.054288526546461,5,241.201253,SAT,,0.295,
11,11,1,55.07270006475762,0,3600.0,-1,24.472763,0.0,1,55.07270006475762,5,265.674016,SAT,,0.345,
12,12,1,227.62194289585122,0,3600.0,-1,24.534056,0.0,1,227.62194289585122,6,290.208072,SAT,,0.367,
13,13,1,254.71839775884467,0,3600.0,-1,24.606194,0.0,1,254.71839775884467,6,314.81426600000003,SAT,,0.296,
14,14,1,2.7885595252204247,0,3600.0,-1,24.667575,0.0,1,2.7885595252204247,7,339.48184100000003,SAT,,0.363,
15,15,1,147.5296315493442,0,3600.0,-1,24.72013,0.0,1,147.5296315493442,7,364.201971,SAT,,0.276,
